kepid,tce_plnt_num,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
11153121,2,,32.2753,0.000337828,149.078,0.00856565,0.6375,2.921,7.032,0.8997,221.0,17.56,12.72,2.311,1.694,683.0,78.1,,,5726.0,114.0,4.12,0.15,1.483,0.334
5980061,2,,0.63053,1.07761e-05,131.679,0.00188313,0.1747,41.29,1.136,0.3599,86.91,12.42,10.94,0.8266,1.533,1940.0,369.0,,,5458.0,177.0,4.48,0.25,0.894,0.336
3347258,1,,0.725091,6.8105e-06,131.997,0.00182936,0.3627,4.076,2.318,0.7487,36.87,3.314,14.65,0.8263,0.2465,2690.0,624.0,,,6903.0,208.0,4.29,0.27,1.329,0.611
10666230,1,,1.57779,1.63335e-06,131.735,0.000347323,0.9005,0.09274,1.356,0.1017,581.9,12.74,66.27,2.315,0.1887,1530.0,339.0,,,6088.0,172.0,4.55,0.31,0.816,0.359
6309264,1,,14.2822,9.57085e-05,136.326,0.0054777,0.6929,4.835,2.147,0.6864,275.7,28.14,10.65,1.285,1.952,625.0,80.8,,,5374.0,185.0,4.59,0.13,0.726,0.181
3541800,1,,4.66233,7.8119e-06,132.353,0.00118071,0.1284,12.27,2.618,0.111,340.1,10.04,35.95,1.886,0.6063,1160.0,217.0,,,6194.0,196.0,4.46,0.26,1.02,0.375
1434660,2,,0.528502,8.10337e-06,131.573,0.000961487,0.9,0.1856,1.04,0.2377,44.93,4.308,17.79,1.42,0.205,3530.0,1000.0,,,7163.0,271.0,4.09,0.32,1.818,1.021
8733497,1,,76.8199,4.12788e-06,188.126,4.13357e-05,0.7212,0.04346,5.157,0.00257,232400.0,124.4,2562.0,47.34,2.25,383.0,78.4,,,5668.0,153.0,4.58,0.26,0.785,0.319
5356593,1,,45.9779,3.69958e-06,148.642,6.45349e-05,0.2417,0.008505,7.467,0.005163,29480.0,16.83,1851.0,39.24,0.02474,736.0,185.0,,,5672.0,177.0,3.79,0.49,2.29,1.145
8059291,1,,459.255,0.00418368,260.321,0.00578919,0.08926,131.2,3.427,2.876,1759.0,286.5,7.477,4.151,12.41,230.0,49.4,,,5443.0,173.0,4.36,0.27,1.008,0.429
9451706,1,,29.3933,4.18914e-05,150.281,0.00115785,0.04471,24.42,6.981,0.2234,331.6,4.788,71.56,2.458,0.5788,702.0,15.2,,,6106.0,106.0,4.26,0.01,1.359,0.035
7959867,3,,0.875372,1.07252e-05,131.943,0.00298149,0.498,6.086,3.579,4.987,125.9,14.75,11.39,3.334,2.143,4220.0,688.0,,,8697.0,376.0,3.89,0.24,2.857,0.899
9367382,1,,1.06179,1.19951e-05,131.632,0.00513264,0.05185,170.3,4.224,9.772,38.59,3.847,12.05,1.199,1.852,2950.0,749.0,,,7375.0,307.0,4.05,0.29,1.911,0.958
7212040,1,,0.747617,5.5344e-06,132.151,0.00240657,0.4913,1.951,2.764,1.05,16.43,1.162,18.12,0.972,0.2042,3670.0,933.0,,,7710.0,302.0,3.98,0.3,2.31,1.159
10656823,1,,8.30785,1.24282e-05,137.94,0.00110472,0.4998,2.129,3.235,0.2599,806.7,15.27,53.74,2.28,0.8445,753.0,93.1,,,5324.0,169.0,4.58,0.16,0.791,0.189
12400729,2,,0.931675,1.40263e-05,131.626,0.000824316,0.5158,2.492,0.704,0.1164,1532.0,231.1,14.43,2.643,1.187,1420.0,96.5,,,5065.0,159.0,4.62,0.06,0.646,0.078
6752876,3,,4.05546,7.57489e-05,133.608,0.0375532,0.5455,3.162,14.19,9.747,19.12,1.971,10.2,1.467,0.6284,2560.0,459.0,,,8124.0,335.0,3.73,0.29,3.22,1.125
7464205,1,,5.48508,4.14541e-05,131.989,0.00542038,0.3003,7.651,7.59,0.5361,43.17,3.618,12.03,0.7179,0.371,1130.0,204.0,,,6003.0,166.0,4.35,0.24,1.085,0.388
9757613,3,,46.8276,9.76266e-05,136.745,0.00181441,0.3075,8.16,1.883,0.3536,1536.0,72.52,25.66,2.229,1.651,292.0,11.5,,,4035.0,87.0,4.69,0.04,0.573,0.038
3326377,2,,198.71,0.000624291,156.52,0.00252971,0.5357,0.458,8.662,0.3369,2049.0,48.49,41.39,3.688,0.3566,259.0,11.8,,,5180.0,108.0,4.55,0.06,0.8,0.065
12643582,1,,44.1458,2.02589e-05,167.391,0.000500987,0.6751,0.2771,4.062,0.01177,257100.0,900.1,599.2,55.0,15.5,504.0,107.0,,,5881.0,185.0,4.5,0.29,0.894,0.375
4049108,1,,4.80449,5.37446e-06,136.001,0.000794791,0.7002,0.7428,2.617,0.2076,684.3,11.83,64.35,2.261,0.5462,953.0,195.0,,,5470.0,183.0,4.53,0.25,0.809,0.327
12257886,1,,2.61584,1.80475e-05,132.429,0.00414608,0.003843,1692.0,6.036,2.858,127.7,7.37,17.8,1.067,1.388,1360.0,262.0,,,6131.0,193.0,4.5,0.28,0.945,0.359
6544977,3,,1.80898,2.29621e-05,132.975,0.00663474,0.2953,9.151,5.153,2.234,17.74,2.879,7.093,0.4142,0.2265,1640.0,357.0,,,6466.0,200.0,4.48,0.3,0.969,0.418
8803940,1,,3.50544,4.25296e-05,132.04,0.00693883,0.8895,0.1512,10.11,4.047,13.32,2.475,5.516,0.794,0.1166,1810.0,439.0,,,6735.0,206.0,4.04,0.28,1.883,0.906
2021440,1,,7.81154,3.62199e-05,136.327,0.00384459,0.9957,0.08165,5.339,0.1798,829.5,27.37,33.66,3.912,4.13,717.0,67.4,,,5135.0,169.0,4.63,0.1,0.709,0.125
12165113,1,,0.557576,0.382096,131.95,135.346,0.8196,517.1,1.673,2022.0,0.00138,5.967,0.0002439,0.009931,21.85,3990.0,1370.0,,,7466.0,309.0,3.95,0.31,2.406,1.223
10006641,2,,0.894194,6.24673e-06,131.948,0.00129994,0.5235,2.153,1.219,0.08325,66.24,5.72,16.44,0.6067,0.2703,1450.0,116.0,,,4981.0,156.0,4.6,0.08,0.73,0.107
5972334,2,,2.41838,2.59779e-06,132.513,0.000564904,0.2465,3.75,2.011,0.06483,656.7,13.2,60.8,2.248,0.5641,1230.0,91.9,,,5422.0,110.0,4.48,0.11,0.887,0.128
9204718,2,,0.9133,1.7542e-05,132.304,0.00605027,0.01152,432.5,5.886,20.77,2.272,0.3922,7.53,0.3834,0.3189,3450.0,614.0,,,7372.0,315.0,3.89,0.22,2.51,0.868
10489783,2,,0.73838,1.10195e-05,131.602,0.00373163,0.1707,33.91,3.526,8.08,72.38,8.387,11.06,2.817,2.958,4490.0,771.0,,,8035.0,329.0,3.72,0.28,3.271,1.09
4929299,2,,0.868715,4.51908e-06,131.653,0.00087226,0.1005,33.79,1.223,0.05886,177.3,11.61,22.87,1.392,1.035,2000.0,367.0,,,5761.0,191.0,4.33,0.23,1.046,0.378
11302627,2,,2.24089,5.18005e-05,132.19,0.0135444,0.4929,3.328,8.506,5.902,11.14,2.223,5.137,0.775,0.2842,2740.0,596.0,,,8554.0,373.0,4.05,0.29,2.237,0.955
4245933,1,,11.2578,8.90265e-05,140.788,0.00642051,0.4613,0.8824,17.49,0.1709,665.3,24.15,28.74,1.546,0.2429,502.0,30.2,,,4262.0,142.0,4.68,0.05,0.6,0.06
4938893,1,,0.589761,1.36301e-05,131.699,0.00516817,0.9079,0.6557,1.875,5.201,49.87,7.554,9.334,0.7608,0.5114,2060.0,442.0,,,5758.0,180.0,4.52,0.3,0.899,0.381
7816992,1,,0.569943,1.35946e-05,131.91,0.00303165,0.271,12.44,2.062,1.766,13.34,2.368,7.708,0.5334,0.3435,2990.0,1170.0,,,6961.0,328.0,4.28,0.44,1.435,1.121
10035772,4,,0.793058,0.0,131.77,0.0,0.1,0.0,3.0,0.0,88.09,0.0,-1.0,4.267,0.0,4660.0,0.0,,,7504.0,303.0,3.52,0.26,4.501,1.623
8154223,2,,0.92149,5.64779e-05,132.33,0.0192991,0.9918,0.00531,1.162,0.2366,20.6,14.66,1.447,1.39,0.4921,3320.0,799.0,,,7512.0,306.0,3.98,0.28,2.239,1.061
4078743,2,,0.754145,9.84009e-06,131.553,0.00218087,0.9008,0.2754,1.917,1.251,30.42,3.367,10.69,1.116,0.2138,3600.0,1310.0,,,8770.0,377.0,4.24,0.42,1.749,1.266
5385304,1,,78.7326,0.000298676,168.732,0.00310508,0.5634,2.617,3.785,0.4544,440.2,22.72,18.43,3.294,1.283,578.0,198.0,,,6735.0,263.0,4.21,0.38,1.505,1.025
7881722,1,,1.12908,1.34493e-05,132.602,0.00410414,0.4585,3.168,3.904,1.785,27.28,3.001,10.17,1.844,0.6046,3950.0,651.0,,,7974.0,318.0,3.69,0.26,3.425,1.095
5706595,2,,19.0232,0.000105249,139.654,0.00439043,0.6296,3.75,3.447,0.7335,394.2,22.48,18.54,1.821,1.538,649.0,133.0,,,5845.0,168.0,4.54,0.29,0.874,0.354
9899181,1,,1.33255,6.6089e-06,132.059,0.0021781,0.03241,76.29,2.86,0.5579,27.15,1.723,19.45,0.3634,0.2627,1250.0,53.6,,,4944.0,102.0,4.61,0.06,0.721,0.054
12785320,1,,19.9636,4.91606e-05,138.384,0.00196966,0.7002,1.271,2.532,0.2657,390.0,13.75,31.48,1.667,0.7467,564.0,24.8,,,5250.0,111.0,4.54,0.05,0.79,0.061
7677005,3,,304.496,0.0023747,332.517,0.00423547,0.9981,0.122,29.16,0.1637,22020.0,752.5,73.08,39.04,14.98,381.0,119.0,,,6886.0,230.0,4.19,0.35,1.537,0.954
5643103,3,,2.94571,1.41565e-05,134.344,0.0020891,0.0003487,4170.0,4.885,0.2105,121.8,91.8,14.12,6.245,1.248,4380.0,1020.0,,,10449.0,424.0,3.5,0.38,5.511,2.535
4172805,1,,147.662,0.00141857,243.955,0.00800642,0.09222,37.7,6.115,1.423,1154.0,91.36,12.91,1.454,1.093,164.0,12.1,,,3668.0,86.0,4.82,0.08,0.431,0.06
5199426,1,,78.6044,5.29412e-06,143.995,4.70587e-05,0.8946,0.01525,4.676,0.004052,79360.0,50.95,2367.0,39.37,1.062,438.0,83.4,,,5938.0,169.0,4.43,0.26,0.985,0.371
4929615,1,,459.369,0.0256873,260.134,0.035753,0.1704,187.7,5.421,6.057,465.4,227.4,2.391,1.737,15.05,202.0,32.2,,,5265.0,178.0,4.52,0.21,0.822,0.256
3732035,1,,138.944,0.00108459,153.911,0.00635991,0.7528,0.3307,10.78,0.6242,519.8,22.18,22.61,2.762,0.3361,384.0,35.0,,,6014.0,124.0,4.36,0.13,1.115,0.198
6140581,1,,512.326,0.0145416,154.369,0.0181703,0.8805,0.3351,11.2,1.238,64.14,22.98,3.441,159.8,73.63,1390.0,357.0,,,3457.0,112.0,0.59,0.23,160.3,81.81
7542813,1,,16.86,0.00011101,139.851,0.00540392,0.0005025,9390.0,5.286,0.6097,254.6,244.8,19.78,1.558,1.411,765.0,140.0,,,6205.0,199.0,4.42,0.26,0.973,0.351
9656543,2,,88.7954,0.0,211.154,0.0,0.1,0.0,10.5,0.0,52910.0,0.0,-1.0,36.57,0.0,492.0,0.0,,,5503.0,190.0,4.03,0.35,1.616,0.795
5526527,1,,16.7365,2.33352e-05,143.132,0.00111051,0.8701,0.1192,2.068,0.2094,1202.0,30.34,41.28,2.968,0.3641,510.0,29.0,,,4608.0,154.0,4.58,0.77,0.716,0.066
11080405,1,,25.1934,0.000191204,146.432,0.00631674,0.7519,1.111,4.605,0.8028,528.9,32.42,17.37,1.869,0.9294,503.0,52.4,,,5177.0,167.0,4.58,0.11,0.746,0.148
10358759,2,,13.2868,6.1588e-05,132.262,0.00375978,0.9841,0.05081,5.049,0.2756,931.4,40.28,32.22,4.293,2.69,714.0,33.9,,,5716.0,115.0,4.54,0.06,0.872,0.075
10346424,1,,0.680111,0.000600755,132.103,0.208219,0.8546,13.25,1.693,27.41,5.02,40.6,0.1646,0.3934,3.111,3040.0,742.0,,,7024.0,299.0,4.14,0.27,1.553,0.746
2443393,1,,73.7097,0.0008824,202.806,0.00962852,0.8905,0.1573,10.36,0.7745,133.4,8.223,15.9,2.034,0.2611,564.0,78.0,,,6340.0,148.0,4.18,0.17,1.513,0.413
10964440,1,,19.1294,7.30373e-05,139.438,0.00303523,0.9,0.08828,3.966,0.3442,481.2,17.42,29.07,2.509,0.2128,698.0,148.0,,,6061.0,190.0,4.49,0.3,0.97,0.406
9958055,2,,1.89242,1.70815e-05,131.941,0.0045183,0.9001,0.1284,5.942,2.76,38.31,2.987,13.79,1.185,0.1308,2050.0,581.0,,,6593.0,260.0,4.13,0.31,1.64,0.919
7552265,1,,0.93024,2.09254e-05,131.848,0.00503797,0.9119,0.4726,2.887,6.702,8.359,1.665,5.616,0.5538,0.2319,2640.0,738.0,,,6705.0,203.0,4.14,0.31,1.628,0.906
6062088,3,,11.3298,6.64186e-05,133.963,0.00472766,0.674,1.658,4.032,0.2924,156.9,10.47,14.96,1.441,0.6505,855.0,75.8,,,5821.0,122.0,4.36,0.13,1.085,0.187
10285525,1,,1.85728,2.65347e-05,132.555,0.00607782,0.8948,0.4116,4.808,4.311,32.19,4.767,7.059,1.135,0.337,2280.0,817.0,,,7294.0,361.0,4.16,0.4,1.733,1.23
6291033,1,,3.70595,6.19469e-06,132.891,0.0011503,0.2987,4.587,4.886,0.04513,341.0,6.323,58.7,1.929,0.5706,1280.0,270.0,,,6187.0,227.0,4.41,0.28,1.034,0.429
9159275,2,,3.04466,3.59792e-05,132.752,0.0169739,0.5254,7.998,3.687,0.7517,107.9,11.39,9.581,0.8019,1.079,1080.0,179.0,,,5513.0,181.0,4.6,0.19,0.753,0.246
9405595,1,,23.3593,0.000107536,144.02,0.00373349,0.2799,14.17,4.654,0.8697,561.0,26.29,22.01,2.412,2.037,684.0,149.0,,,6244.0,210.0,4.46,0.3,1.009,0.435
4048494,2,,0.657997,1.32359e-05,132.01,0.00359919,0.4418,6.914,1.676,0.7969,41.9,7.625,7.621,1.684,1.085,4060.0,718.0,,,7852.0,311.0,3.92,0.22,2.518,0.868
9541223,1,,0.536621,5.11413e-05,131.723,0.0117875,0.9006,0.7007,1.182,1.636,5.892,3.903,2.062,0.6298,0.3792,4340.0,986.0,,,8404.0,354.0,4.04,0.29,2.23,0.997
7768952,2,,22.4687,0.000135112,141.515,0.00499843,0.4162,6.496,2.64,0.2021,135.2,10.96,12.75,3.872,2.997,1040.0,268.0,,,5461.0,227.0,3.57,0.47,3.301,1.679
11968463,2,,15.1623,0.000109332,144.469,0.00632325,0.2704,15.43,6.039,0.9625,430.8,21.78,21.83,2.415,2.128,850.0,250.0,,,6308.0,246.0,4.35,0.32,1.153,0.671
12010534,2,,2.58159,2.5808e-07,131.658,5.93246e-05,0.7312,0.001533,4.566,0.004681,19320.0,33.31,686.7,14.9,0.01643,1330.0,251.0,,,5720.0,164.0,4.41,0.25,0.989,0.369
1576558,1,,3.79584,5.74997e-05,134.649,0.0101452,0.6003,1.518,15.38,9.261,18.97,2.569,7.371,0.8085,0.2031,1750.0,428.0,,,6861.0,254.0,4.08,0.28,1.768,0.855
3122913,1,,11.6066,4.41055e-05,134.413,0.00319044,0.0162,274.5,2.181,0.4251,905.4,51.79,18.4,2.063,2.659,606.0,42.3,,,4960.0,141.0,4.63,0.08,0.707,0.09
9735426,1,,8.08803,9.4567e-06,138.735,0.000887934,0.1721,6.889,1.789,0.1105,963.5,21.5,48.06,2.312,0.7591,734.0,74.6,,,5201.0,162.0,4.6,0.12,0.759,0.147
10793172,3,,18.0808,0.000357962,140.568,0.016753,0.9813,0.01388,5.724,0.8725,109.0,15.78,8.53,1.239,0.1429,638.0,139.0,,,5693.0,163.0,4.55,0.3,0.856,0.37
8098120,1,,1.21693,1.75526e-05,131.553,0.0051203,0.8911,0.02116,4.457,0.3374,214.0,13.64,15.19,2.598,0.0837,2480.0,906.0,,,7171.0,321.0,4.22,0.4,1.541,1.118
12647070,1,,0.885457,7.83505e-06,131.654,0.00285454,0.1127,53.15,3.161,4.067,27.97,2.683,13.54,1.363,1.552,3580.0,569.0,,,7490.0,304.0,3.87,0.23,2.564,0.788
3098843,1,,29.9758,0.000248265,135.449,0.00736703,0.6416,3.789,3.233,0.5447,229.4,20.44,11.64,1.571,1.419,591.0,127.0,,,5893.0,179.0,4.46,0.29,0.986,0.42
8985157,3,,2.05481,2.21038e-05,131.563,0.00639347,0.03372,207.1,4.894,3.117,22.56,3.515,8.685,0.8809,1.135,2140.0,467.0,,,6626.0,216.0,4.01,0.26,1.842,0.794
3942571,2,,2.47996,3.86312e-05,132.264,0.00838249,0.8878,0.3082,7.485,6.347,22.4,2.846,8.251,0.8687,0.2093,1780.0,451.0,,,6217.0,184.0,4.1,0.26,1.579,0.795
9479273,1,,6.10485,2.47221e-06,132.944,0.000296503,0.07412,3.9,4.681,0.09266,2141.0,8.709,279.6,3.212,0.2516,783.0,30.9,,,5092.0,105.0,4.59,0.04,0.712,0.048
7678385,1,,0.640008,8.88072e-06,131.887,0.00246822,0.5117,3.263,1.969,0.8919,62.99,6.981,11.79,1.859,0.728,4000.0,884.0,,,8050.0,301.0,4.0,0.27,2.254,0.983
7031880,1,,0.566793,0.000762989,131.825,0.17316,0.04359,5546.0,1.574,49.82,0.9793,9.137,0.1516,0.1129,5.371,2490.0,650.0,,,6343.0,288.0,4.41,0.31,1.137,0.583
11959893,1,,2.9085,2.06842e-05,133.204,0.00405372,0.4936,2.075,4.822,0.3564,42.1,3.936,11.11,1.493,0.3851,2000.0,375.0,,,6531.0,273.0,3.94,0.25,2.231,0.815
8396660,1,,1.33805,8.34012e-06,132.353,0.00195295,0.5052,1.255,1.885,0.08945,17.57,1.872,12.15,0.5843,0.1035,2020.0,260.0,,,6343.0,171.0,4.29,0.18,1.351,0.339
8610168,1,,371.693,0.00509545,356.021,0.0123018,1.0,1.008,2.484,33.01,2272.0,92140.0,8.948,17.12,177.2,325.0,106.0,,,5412.0,186.0,3.88,0.55,1.854,1.206
9300285,1,,1.01263,1.17649e-05,131.727,0.00294392,0.3256,9.592,1.765,0.3123,35.12,5.28,8.779,0.8091,0.5178,2340.0,709.0,,,6664.0,248.0,4.27,0.34,1.339,0.806
5529560,1,,0.759746,7.86606e-06,131.82,0.00298643,0.9025,0.5611,2.157,3.525,59.08,6.42,13.03,0.977,0.5146,2120.0,676.0,,,6077.0,234.0,4.44,0.37,1.072,0.679
5881688,1,,4.19042,1.29117e-06,133.728,0.000213101,0.17,1.699,2.812,0.07793,3086.0,14.05,250.1,6.63,0.4261,1270.0,387.0,,,6067.0,227.0,4.35,0.34,1.196,0.726
3228959,2,,0.730859,9.38108e-05,132.293,0.0301576,0.9,2.031,1.801,8.764,8.638,9.863,1.258,0.2905,0.5508,1910.0,433.0,,,5887.0,173.0,4.56,0.31,0.837,0.376
7211759,4,,0.549085,0.0,132.011,0.0,0.1,0.0,1.5,0.0,115.7,0.0,-1.0,3.451,0.0,5110.0,0.0,,,8402.0,339.0,3.75,0.27,3.157,1.008
3118797,1,,66.4163,0.000383572,188.133,0.004774,0.08924,17.16,6.943,0.9436,2526.0,80.23,34.7,3.728,1.427,376.0,62.5,,,5387.0,211.0,4.6,0.19,0.755,0.244
4756171,2,,5.01237,9.9227e-05,132.015,0.0147658,0.6913,1.552,16.57,10.37,126.2,11.95,11.35,1.488,0.5725,1290.0,246.0,,,6033.0,163.0,4.14,0.34,1.241,0.469
11912941,1,,3.74781,2.62672e-05,134.201,0.00470936,0.9144,0.3936,3.361,0.4192,118.5,10.82,11.76,1.294,0.5212,1230.0,217.0,,,6122.0,195.0,4.47,0.26,0.996,0.347
3329204,1,,51.598,4.6929e-05,152.383,0.000795363,0.7362,0.1119,2.167,0.1077,5995.0,87.16,83.39,7.189,0.3209,450.0,96.0,,,5693.0,163.0,4.55,0.3,0.856,0.362
9650390,1,,1.19102,2.60198e-05,132.201,0.0141715,0.9926,0.01871,1.806,0.4298,96.16,13.85,9.197,4.432,2.863,3960.0,668.0,,,8572.0,348.0,3.77,0.24,3.05,0.997
